Age,Attrition,BusinessTravel_Non-Travel,BusinessTravel_Travel_Rarely,BusinessTravel_Travel_Frequently,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole_Healthcare_Representative,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager_Research_&_Development,JobRole_Manager_Sales,JobRole_Manager_Human_Resources,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,MonthlyHours,TaxRate,OverallSatisfaction
0.8095238095238095,0.0,0.0,1.0,0.0,0.2857142857142857,0.75,0.3333333333333333,0.0,0.6666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.28617054024934585,1.0,0.0,0.4285714285714285,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.4,0.4375,0.2311249239128012,0.4069511541603934,0.5
0.42857142857142855,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.14718331537632753,0.1111111111111111,1.0,0.2142857142857143,0.6666666666666667,0.3333333333333333,0.5,0.6666666666666667,0.05,0.5,0.23347683237493677,0.43243922280378516,0.5714285714285714
0.16666666666666669,0.0,0.0,0.0,1.0,0.5357142857142857,0.5,0.6666666666666667,0.0,0.6666666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14464368169924582,0.1111111111111111,1.0,0.9999999999999999,0.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666667,0.05,0.3125,0.7470122627733162,0.7403875832352009,0.7142857142857144
0.35714285714285715,0.0,0.0,1.0,0.0,0.14285714285714285,0.75,0.3333333333333333,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.06887794366630753,0.2222222222222222,0.0,0.2142857142857143,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666667,0.15000000000000002,0.4375,0.4352093050215004,0.884628308639915,0.42857142857142855
0.3095238095238095,0.0,0.0,1.0,0.0,0.2857142857142857,0.25,0.6666666666666667,1.0,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20432507311066647,0.1111111111111111,0.0,0.0714285714285714,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.5,0.125,0.14219352960373044,0.21857025716459913,0.7142857142857144
0.4047619047619047,0.0,0.0,1.0,0.0,0.2142857142857143,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666667,0.048483915653378486,0.1111111111111111,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666667,0.05,0.125,0.44295005903698953,0.8996445976990975,0.8571428571428572
0.21428571428571425,0.0,0.0,1.0,0.0,0.10714285714285714,0.25,0.6666666666666667,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.29694474372787444,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666667,0.45,0.1875,0.6173790274845546,0.6141273124688408,0.42857142857142855
0.11904761904761901,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.030052331845467135,0.1111111111111111,1.0,0.6428571428571427,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666667,0.05,0.3125,0.3695790640204155,0.9382432329972641,0.7857142857142856
0.5714285714285714,0.0,0.0,1.0,0.0,0.5714285714285714,0.25,1.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09104201939356626,0.3333333333333333,1.0,0.1428571428571428,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.15000000000000002,0.125,0.4507425282371753,0.8969587192455943,0.6428571428571428
0.4047619047619047,0.0,0.0,1.0,0.0,0.9999999999999999,0.5,0.3333333333333333,0.0,0.6666666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.06468370016930891,0.1111111111111111,0.0,0.1428571428571428,1.0,0.3333333333333333,0.8333333333333333,0.3333333333333333,0.05,0.5,0.16714524562400046,0.8115966520167773,0.5
0.49999999999999994,0.0,0.0,1.0,0.0,0.14285714285714285,0.5,0.6666666666666667,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07926735416346006,0.2222222222222222,0.0,0.0714285714285714,1.0,0.0,0.5,0.6666666666666667,0.5,0.625,0.1747716154672066,0.4765926582690977,0.5
